country,id,lat,lng,name,Temperature,Humidity,Cloudiness,Wind Speed
IT,3172707,43.120651,13.48758,Monte Vidon Corrado,35.29,86,0,3.89
SG,1880216,1.35806,103.940277,Tampines Estate,84.24,79,75,12.75
FI,635745,62.566669,25.866671,Suolahti,8.6,71,0,2.24
DE,2949907,52.75,7.2,Bersede,38.21,93,36,9.17
AT,7872704,46.90802,16.122549,Sankt Martin an der Raab,36.48,93,88,4.7
EE,591381,58.15028,24.96417,Kilingi-Nomme,19.04,91,88,14.85
ES,6355846,40.613022,-5.13156,Vadillo de la Sierra,37.4,100,92,3.78
US,4504010,39.944279,-74.072906,Seaside Heights,34.43,100,90,14.99
PL,3097865,49.56319,18.90567,Istebna,33.8,92,90,2.24
PH,1688643,14.9056,120.694504,San Rafael,86.56,58,75,5.82
PT,8013754,40.513538,-7.95818,Beijós,41.9,98,92,2.39
US,4270847,39.061119,-94.819679,Edwardsville,29.3,61,1,10.29
SN,2247813,15.3338,-15.4766,Ndibene Dahra,63.41,49,0,2.89
DE,2865053,50.31522,11.24399,Neuhaus-Schierschnitz,34.34,96,92,12.39
ES,6358093,43.051159,-2.11038,Abaltzisketa,48.63,74,0,4.7
DE,2948351,50.349998,9.3,Birstein,37.4,95,20,8.05
DE,2882250,53.866669,12.7,Küsserow,32,96,75,4.7
MG,1057095,-22.9,44.533329,Sakaraha,77.68,61,0,3.89
US,5387509,36.812462,-121.365768,Ridgemark,54.9,53,1,2.1
US,5264049,42.905849,-88.138977,Muskego,24.4,67,90,6.93
ES,6359384,40.29475,-3.29717,Valdilecha,41,100,75,2.24
DE,2910649,52.75,8.91667,Hardenbostel,38.75,93,75,11.41
DE,2909048,48.450001,11.0,Haunswies,36.5,86,20,9.17
US,4582133,34.446499,-82.39151,Honea Path,35.35,74,1,4.7
IT,3182788,42.50214,13.7828,Arsita,42.8,75,0,4.7
US,4993873,42.095039,-83.189651,Gibraltar,26.06,63,40,13.87
DE,6548414,54.5667,13.4833,Glowe,33.04,100,80,12.91
US,4519005,39.027569,-83.919647,Mount Orab,32.9,72,90,11.41
DE,2864431,49.612782,11.13222,Neunkirchen,37.76,80,75,10.29
CN,1814946,26.91111,119.483063,Chixi,51.58,73,92,2.77
ZA,981084,-25.82988,28.2012,Lyttelton,64.36,77,24,1.12
PT,8012169,40.537231,-7.35282,Vila Soeiro,41.27,95,64,2.89
DE,2878382,50.799999,13.16667,Leubsdorf,37.9,75,75,9.17
DE,2880221,51.5,13.8,Lauchhammer,39.15,75,75,9.17
US,5375034,37.527439,-122.513313,Moss Beach,60.98,47,75,10.29
DE,6554539,50.216702,6.5,Fleringen,34.41,95,75,12.75
FI,658288,61.216671,26.033331,Heinola,12.2,72,0,11.41
FR,3029123,44.299042,-0.47791,Callen,36.82,93,0,4.7
FR,6427197,49.216671,-0.68333,Ellon,43.97,87,75,17.22
DE,6554833,49.7239,8.20083,Hochborn,37.87,82,20,8.05
PL,3090048,50.666672,17.950001,Opole,31.69,87,20,9.55
LU,2960209,49.848061,6.03556,Oberfeulen,34.34,93,75,8.05
FR,6429594,44.849998,1.33333,Sainte-Mondane,34.61,100,0,6.93
FR,3029002,47.847389,-2.99981,Camors,46.4,87,56,18.34
DE,2872962,49.26667,7.53333,Massweiler,37.42,100,90,10.29
LU,2960427,49.650829,6.235,Hostert,35.6,93,75,8.05
AU,2164282,-35.116669,147.433334,Gumly Gumly,82.4,21,0,8.05
